# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: dm_equilibre
# Exported by: LeetPete
setting:	replacespawns 0
item_ammo_smg1_ttt	-552.2411 -2541.8730 567.7588	0.634 6.137 -6.440
item_ammo_smg1_ttt	-539.7559 -2539.8921 573.0976	83.607 -80.020 -84.913
weapon_zm_shotgun	-576.9456 -1417.0895 455.2500	-0.352 9.590 83.621
weapon_zm_shotgun	-1711.1930 -1149.6630 420.0200	-0.452 -9.318 -84.281
weapon_zm_shotgun	1682.2657 -1023.4324 7.3147	-54.221 -12.326 -78.553
weapon_zm_shotgun	-756.0234 -1467.0233 181.6720	-9.416 13.339 85.175
weapon_zm_shotgun	-1533.9293 -1212.4254 553.2617	-0.393 9.587 83.987
weapon_ttt_m16	-3296.2527 -590.4925 -84.8606	2.108 -8.351 84.441
weapon_ttt_m16	90.3627 1114.4508 200.1523	2.110 -8.323 84.223
weapon_ttt_m16	-774.2994 -2539.5083 698.1194	3.447 8.141 -91.104
weapon_ttt_m16	-1677.2733 914.9028 -142.8658	1.690 -47.173 85.495
weapon_ttt_m16	-198.4445 -762.2342 -80.8641	-10.148 -1.035 90.629
weapon_ttt_m16	-1974.2267 -2324.1350 252.1443	2.107 -22.280 84.365
item_box_buckshot_ttt	-570.6564 -1447.3242 454.4376	0.397 -0.279 -0.227
item_box_buckshot_ttt	-563.2807 -1449.2163 454.4622	0.882 -0.143 -0.045
item_box_buckshot_ttt	-565.9894 -1458.5967 454.4482	1.954 -0.057 -0.676
item_box_buckshot_ttt	-1706.3246 -1163.5181 419.4013	-0.869 -0.011 0.775
item_box_buckshot_ttt	-1693.9618 -1164.4163 419.3968	-0.937 -0.003 0.830
item_box_buckshot_ttt	-1686.3921 -1168.1526 419.4464	-0.519 -0.007 0.461
item_box_buckshot_ttt	1708.0808 -1038.4318 27.8719	-1.023 -0.005 0.814
item_box_buckshot_ttt	1710.3149 -1006.6635 27.8040	-0.423 -0.004 -0.337
item_box_buckshot_ttt	-755.0693 -1486.3938 179.4402	-0.569 -0.007 0.505
item_box_buckshot_ttt	-762.1403 -1457.7275 179.4077	-0.996 0.000 0.811
item_box_buckshot_ttt	-766.1754 -1474.0452 180.7000	-20.171 4.651 0.231
item_box_buckshot_ttt	-1528.4257 -1226.8663 552.3878	-1.010 -0.011 0.895
item_box_buckshot_ttt	-1517.9535 -1226.2520 552.4044	-0.843 -0.007 0.752
item_box_buckshot_ttt	-1503.6667 -1227.7418 552.4289	-0.652 -0.007 0.582
weapon_zm_sledge	-596.3883 612.1813 -41.6293	18.315 -4.458 2.935
weapon_zm_sledge	-362.8320 -1458.2534 326.4315	18.609 0.197 2.839
weapon_ttt_glock	-3239.6780 -581.4310 -85.4855	-0.939 26.400 91.990
weapon_ttt_glock	-2893.4153 1440.1860 -92.9655	-0.865 26.726 91.384
weapon_ttt_glock	-2115.7578 -1276.7600 419.4960	-1.134 26.661 92.205
weapon_ttt_glock	-1511.1041 -1376.0913 552.5237	-0.879 26.418 91.780
weapon_ttt_glock	-1955.8679 -2345.5767 385.5128	-0.950 26.391 92.031
ttt_random_ammo	-2126.4465 -2492.1079 111.4368	1.074 -0.027 -1.284
ttt_random_ammo	-2119.6001 -2501.9143 111.3554	0.056 -0.000 0.004
ttt_random_ammo	-2114.8997 -2491.8425 111.3924	0.706 -0.007 -0.806
weapon_zm_mac10	-2835.4226 1444.6777 -91.7819	0.525 -45.253 -91.800
weapon_zm_mac10	-2210.5601 -2485.8599 252.2249	-0.123 -34.454 -88.241
weapon_zm_mac10	-405.8906 -169.7868 161.2119	-0.130 -44.435 -88.534
weapon_zm_mac10	-2676.6914 -2337.8752 0.9726	0.341 -40.878 -89.212
weapon_zm_mac10	-541.9776 -2578.5901 572.3310	4.821 47.013 81.972
item_ammo_357_ttt	-376.7823 -136.1268 543.8494	0.664 0.168 0.098
item_ammo_357_ttt	-391.6722 -135.9206 543.7645	0.634 -0.076 -0.039
item_ammo_357_ttt	-1582.1316 -175.3527 -107.9665	-14.375 4.349 -12.921
item_ammo_357_ttt	-1573.1104 -173.5058 -105.7802	-10.496 11.076 -17.230
item_ammo_357_ttt	1449.6365 328.2542 34.2141	0.860 1.452 0.014
item_ammo_357_ttt	1454.0460 343.2864 34.0756	0.916 1.051 0.030
item_ammo_357_ttt	-219.8045 -1679.9670 324.7320	-0.071 1.242 35.510
item_ammo_357_ttt	-1613.8490 -1117.4229 597.9239	0.511 0.127 -0.068
item_ammo_357_ttt	-1620.3369 -1115.6609 597.8860	0.599 0.176 -0.058
item_ammo_357_ttt	-2089.9192 -2450.9531 385.4360	0.471 0.055 0.013
item_ammo_revolver_ttt	-1828.3823 1232.4619 -18.5525	0.832 -0.004 -0.572
item_ammo_revolver_ttt	-1844.4103 1236.2223 -18.6363	0.457 0.060 0.042
item_ammo_revolver_ttt	-1848.2477 1245.9185 -18.5488	0.908 1.689 -0.033
item_ammo_revolver_ttt	275.7819 1127.1332 199.3217	0.449 0.070 0.058
item_ammo_revolver_ttt	281.9900 1135.6041 199.3685	0.458 0.059 0.040
item_ammo_revolver_ttt	1406.5066 -976.4678 33.1518	0.493 -0.102 0.262
item_ammo_revolver_ttt	1398.3002 -959.2571 33.2107	0.563 0.025 0.226
item_ammo_revolver_ttt	1418.6281 -974.2130 33.0833	0.604 -0.097 0.220
item_ammo_revolver_ttt	-2194.0007 -2490.1819 155.3927	0.462 0.054 0.031
item_ammo_revolver_ttt	-2184.0664 -2491.6292 155.3239	0.448 0.067 0.059
item_ammo_revolver_ttt	-447.9797 -171.5891 160.3792	0.590 -0.077 -0.105
item_ammo_revolver_ttt	-455.3448 -170.2161 160.4129	0.467 0.056 0.023
item_ammo_revolver_ttt	-594.6362 -2536.4890 566.9410	0.265 0.134 -6.860
item_ammo_revolver_ttt	-604.5446 -2522.2732 565.3464	0.308 0.142 -6.795
item_ammo_revolver_ttt	-419.7662 -1311.9449 322.3814	0.461 0.058 0.035
item_ammo_revolver_ttt	-420.8542 -1298.0458 322.4155	0.467 0.056 0.022
item_ammo_revolver_ttt	65.1933 -1189.3228 -24.6488	-9.975 -1.405 3.952
item_ammo_revolver_ttt	55.0665 -1184.4939 -25.9452	-8.917 0.482 4.714
weapon_zm_rifle	-387.3995 -125.8377 544.6899	0.172 -3.390 -89.326
weapon_zm_rifle	-1585.6995 -159.2962 -110.6804	-14.469 9.336 67.105
weapon_zm_rifle	1418.9060 310.6321 9.0670	-58.799 -13.014 104.233
weapon_zm_rifle	-228.0993 -1671.6918 323.3080	3.304 11.774 65.123
weapon_zm_rifle	-2170.5845 -2293.7651 112.3692	3.308 11.779 65.402
weapon_zm_rifle	-1633.2329 -1151.1666 598.8083	3.176 10.960 64.978
weapon_zm_rifle	-2092.0491 -2469.9873 386.2888	3.306 11.745 64.715
weapon_ttt_confgrenade	-547.7272 -1826.6917 325.0667	1.398 -1.854 -0.715
weapon_ttt_confgrenade	-749.8317 -2544.1377 698.2412	-6.906 32.169 -113.307
weapon_ttt_confgrenade	-2020.1737 -1537.3973 422.5699	1.256 0.221 -0.375
weapon_ttt_confgrenade	-2028.9514 -1541.7012 422.5435	1.674 0.222 -0.499
